Customer,Name,Currency,Ctlg Nbr,Prod Group Catalog,Product ID,Descr,Brand,Category,Kit,UOM,Default UOM,Pricing UOM,List Price,Discount_pct,DFI_Price
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,1010,Onsite-Service One Day (8hrs),SONANCE,BLAZE,N,EA,Y,Default,2000.0000,0.2,1600.00
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,1011,Onsite-Service Additional Day,SONANCE,BLAZE,N,EA,Y,Default,1500.0000,0.2,1200.00
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,1012,Onsite-Service Addl half day,SONANCE,BLAZE,N,EA,Y,Default,500.0000,0.2,400.00
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,10200,"M6   6 1/2"" 2-WAY RECTANGLE PR",SONANCE,OTHER,N,PR,Y,Default,77.0000,0.25,57.75
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,10201,M6R 6.5 IN 2-WAY ROUND,SONANCE,OTHER,N,PR,Y,Default,77.0000,0.25,57.75
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,10202,"M LCR  TWO 5 1/4"" 2-WAY RECT",SONANCE,OTHER,N,EA,Y,Default,65.0000,0.25,48.75
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,10204,"M6R SST 6 1/2"" ROUND EA",SONANCE,OTHER,N,EA,Y,Default,57.0000,0.25,42.75
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,10230,M6 OUTDOOR,SONANCE,SPECIALTY_PROD,N,PR,Y,Default,90.0000,0.25,67.50
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,124044,TINSEL T-3445 SILV.PLD CAD COP,SONANCE,,N,LBS,Y,Default,71.4500,0.25,53.59
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,126134,HF COIL ASSY,SONANCE,,N,EA,Y,Default,12.1000,0.25,9.08
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,126148,"1"" LF VOICE COIL ASSY",SONANCE,,N,EA,Y,Default,14.3400,0.25,10.76
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,130001,TRANSFORMER 8 WATT,SONANCE,,N,EA,Y,Default,7.7800,0.25,5.84
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,130003,TRANSFORMER 70 7V 32 W (16/32,SONANCE,,N,EA,Y,Default,21.4000,0.25,16.05
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,140005,"FACE PLATE,SDS4",SONANCE,,N,EA,Y,Default,3.0000,0.25,2.25
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,140027,"BAFFLE,SIA/II/IIIC",SONANCE,,N,EA,Y,Default,41.0000,0.25,30.75
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,140030,"BAFFLE,M10/20/30",SONANCE,,N,EA,Y,Default,34.0000,0.25,25.50
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,140069,"BRKT,ABB1/VC50B",SONANCE,,N,PR,Y,Default,24.0000,0.25,18.00
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,140127,"INST,DEC,IVO,VC",SONANCE,,N,EA,Y,Default,3.0000,0.25,2.25
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,140219,"RMFPLT, AF8  WITH 6 NUTS & 6 S",SONANCE,OTHER_SONANCE,N,EA,Y,Default,18.0000,0.25,13.50
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,140228,"WING,NC,XL,II/III/IV",SONANCE,OTHER_SONANCE,N,EA,Y,Default,6.0000,0.25,4.50
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,140233,"BAFFLE,AIS500",SONANCE,,N,EA,Y,Default,97.0000,0.25,72.75
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,140250,"BAFFLE,MR-SERIES",SONANCE,,N,EA,Y,Default,37.0000,0.25,27.75
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,140254,"WING,MED,9.5"",MR-SERIES",SONANCE,,N,EA,Y,Default,2.0000,0.25,1.50
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,140255,"WING,LONG,18.5"",MR-SERIES",SONANCE,,N,EA,Y,Default,2.0000,0.25,1.50
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,140259,"BAFFLE,SR-SERIES",SONANCE,,N,EA,Y,Default,58.0000,0.25,43.50
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,140327,"BAFFLE,S-SERIES",SONANCE,,N,EA,Y,Default,43.0000,0.25,32.25
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,140361,"FLEXBAR,S-SERIES",SONANCE,,N,EA,Y,Default,6.0000,0.25,4.50
203745,MOUNTAIN WEST DISTRIBUTORS INC,USD,SONANCE,SO,140365,STAPLE TEMP STS1,SONANCE,PARTS,N,EA,Y,Default,9.0000,0.25,6.75
